,RAW_TEXT_x,NAME_x,Extra_x,Library_x,test_x,Links_x,tmp_x,Start_Date_x,End_Date_x,Start_Date_Y_x,End_Date_Y_x,Location_x,Loc_Geo,Archives,Type,Amount,RAW_TEXT_y,NAME_y,Extra_y,Library_y,test_y,Links_y,tmp_y,Start_Date_y,End_Date_y,Start_Date_Y_y,End_Date_Y_y,Location_y,location,point,Lat,Lon,Info
0,"Timgad (250 A.D.) (modern Algeria)The library was a gift to the Roman people and province of Thamugadi or Timgad by  Julius Quintianus Flavius Rogatianus in the third century. The library contained an expansive arched hall which consisted of a reading room, stack room, and a rotunda for lectures. The library was quite large measuring eighty one feet in length by seventy seven feet in width. Oblong alcoves held wooden cabinets along walls of which the manuscripts were maintained. In addition there is evidence for free-standing bookcases in the center as well as a reading desk. There is no evidence as to how many books the library harbored although it is estimated that it could have accommodated 3000 scrolls.",Algeria,"The library was a gift to the Roman people and province of Thamugadi or Timgad by  Julius Quintianus Flavius Rogatianus in the third century. The library contained an expansive arched hall which consisted of a reading room, stack room, and a rotunda for lectures. The library was quite large measuring eighty one feet in length by seventy seven feet in width. Oblong alcoves held wooden cabinets along walls of which the manuscripts were maintained. In addition there is evidence for free-standing bookcases in the center as well as a reading desk. There is no evidence as to how many books the library harbored although it is estimated that it could have accommodated 3000 scrolls.",Timgad ,Timgad,https://en.wikipedia.org/wiki/Timgad,Timgad,250 A.D.,Unknown,250 ,,,,The library was a gift to the Roman people and province of Thamugadi or Timgad by  Julius Quintianus Flavius Rogatianus in the third century. The library contained an expansive arched hall which consisted of a reading room stack room and a rotunda for lectures. The library was quite large measuring eighty one feet in length by seventy seven feet in width. Oblong alcoves held wooden cabinets along walls of which the manuscripts were maintained. In addition there is evidence for free-standing bookcases in the center as well as a reading desk. There is no evidence as to how many books the library harbored although it is estimated that it could have accommodated 3000 scrolls.,scrolls,3000,,,,,,,,,,,,,,,,,
1,Hattusa (1900 B.C. - 1190 B.C.) (modern Bogazkoy)This archive constituted the largest collection of Hittite texts discovered with approximately thirty thousand inscribed cuneiform tablets. The tablets had also been classified according to a precise system.,Turkey,This archive constituted the largest collection of Hittite texts discovered with approximately thirty thousand inscribed cuneiform tablets. The tablets had also been classified according to a precise system.,Hattusa ,Hattusa,https://en.wikipedia.org/wiki/Hattusa,Hattusa,1900 B.C. , 1190 B.C.,-1900  ,- 1190 ,Bogazkoy,"Bogazkoy, Turkey",This archive constituted the largest collection of Hittite texts discovered with approximately thirty thousand inscribed cuneiform tablets. The tablets had also been classified according to a precise system.,texts,,Hattusa (1900 B.C. - 1190 B.C.) (modern Bogazkoy)This archive constituted the largest collection of Hittite texts discovered with approximately thirty thousand inscribed cuneiform tablets. The tablets had also been classified according to a precise system.,Turkey,This archive constituted the largest collection of Hittite texts discovered with approximately thirty thousand inscribed cuneiform tablets. The tablets had also been classified according to a precise system.,Hattusa ,Hattusa,https://en.wikipedia.org/wiki/Hattusa,Hattusa,1900 B.C. , 1190 B.C.,-1900  ,- 1190 ,Bogazkoy,"Boğazköy, Nevşehir merkez, Nevşehir, İç Anadolu Bölgesi, Türkiye","(38.5472734, 34.6360644, 0.0)",38.5472734,34.6360644,"Hattusa , Creation Date: 1900 B.C. , Wiki link: https://en.wikipedia.org/wiki/Hattusa"
2,Royal Library of Antioch (221 B.C. - 363 A.D.) (Modern Antakya)The library was commissioned in the third century B.C. by Euphorion of Chalcis by the Greek sovereign Antiochus III the Great. Euphorion was an academic and was also the chief librarian.,Turkey,The library was commissioned in the third century B.C. by Euphorion of Chalcis by the Greek sovereign Antiochus III the Great. Euphorion was an academic and was also the chief librarian.,Royal Library of Antioch ,Library of Antioch,https://en.wikipedia.org/wiki/Library_of_Antioch,Library of Antioch,221 B.C. , 363 A.D.,-221  , 363 ,Antakya,"Antakya, Turkey",The library was commissioned in the third century B.C. by Euphorion of Chalcis by the Greek sovereign Antiochus III the Great. Euphorion was an academic and was also the chief librarian.,,,Royal Library of Antioch (221 B.C. - 363 A.D.) (Modern Antakya)The library was commissioned in the third century B.C. by Euphorion of Chalcis by the Greek sovereign Antiochus III the Great. Euphorion was an academic and was also the chief librarian.,Turkey,The library was commissioned in the third century B.C. by Euphorion of Chalcis by the Greek sovereign Antiochus III the Great. Euphorion was an academic and was also the chief librarian.,Royal Library of Antioch ,Library of Antioch,https://en.wikipedia.org/wiki/Library_of_Antioch,Library of Antioch,221 B.C. , 363 A.D.,-221  , 363 ,Antakya,"Antakya, Antakya (merkez), Hatay, Akdeniz Bölgesi, 31060, Türkiye","(36.2176872, 36.1653617, 0.0)",36.2176872,36.1653617,"Royal Library of Antioch , Creation Date: 221 B.C. , Wiki link: https://en.wikipedia.org/wiki/Library_of_Antioch"
3,"Library of Pergamum (197 B.C. - 159 B.C.) (modern Bergama)The Attalid kings formed the second best Hellenistic library after Alexandria, founded in emulation of the Ptolemies. Parchment, a predecessor of vellum and paper, was widely used in the library, and came to be known as pergamum after the city.  The library had collected over 200,000 volumes and the reason why the library was so successful was because of Pergamum's hegemony which was a purveyor of scholarship.",Turkey,"The Attalid kings formed the second best Hellenistic library after Alexandria, founded in emulation of the Ptolemies. Parchment, a predecessor of vellum and paper, was widely used in the library, and came to be known as pergamum after the city.  The library had collected over 200,000 volumes and the reason why the library was so successful was because of Pergamum's hegemony which was a purveyor of scholarship.",Library of Pergamum ,Library of Pergamum,https://en.wikipedia.org/wiki/Library_of_Pergamum,Library of Pergamum,197 B.C. , 159 B.C.,-197  ,- 159 ,Bergama,"Bergama, Turkey",The Attalid kings formed the second best Hellenistic library after Alexandria founded in emulation of the Ptolemies. Parchment a predecessor of vellum and paper was widely used in the library and came to be known as pergamum after the city.  The library had collected over 200000 volumes and the reason why the library was so successful was because of Pergamum's hegemony which was a purveyor of scholarship.,volumes,200000,"Library of Pergamum (197 B.C. - 159 B.C.) (modern Bergama)The Attalid kings formed the second best Hellenistic library after Alexandria, founded in emulation of the Ptolemies. Parchment, a predecessor of vellum and paper, was widely used in the library, and came to be known as pergamum after the city.  The library had collected over 200,000 volumes and the reason why the library was so successful was because of Pergamum's hegemony which was a purveyor of scholarship.",Turkey,"The Attalid kings formed the second best Hellenistic library after Alexandria, founded in emulation of the Ptolemies. Parchment, a predecessor of vellum and paper, was widely used in the library, and came to be known as pergamum after the city.  The library had collected over 200,000 volumes and the reason why the library was so successful was because of Pergamum's hegemony which was a purveyor of scholarship.",Library of Pergamum ,Library of Pergamum,https://en.wikipedia.org/wiki/Library_of_Pergamum,Library of Pergamum,197 B.C. , 159 B.C.,-197  ,- 159 ,Bergama,"Bergama, İzmir, Ege Bölgesi, 35700, Türkiye","(39.1191544, 27.1777296, 0.0)",39.1191544,27.1777296,"Library of Pergamum , Creation Date: 197 B.C. , Wiki link: https://en.wikipedia.org/wiki/Library_of_Pergamum"
4,"Library of Celsus (135 A.D. - 262) (located within the city of Ephesus)This library was part of the triumvirate of libraries in the Mediterranean which included the aforementioned Library of Pergamum and the great Library of Alexandria listed below. The library was actually a tomb and a shrine for the deceased Tiberius Julius Celsus Polemaeanus for whom the library is named. 12,000 volumes were collected at this library which were deposited in several cabinets along the wall.",Turkey,"This library was part of the triumvirate of libraries in the Mediterranean which included the aforementioned Library of Pergamum and the great Library of Alexandria listed below. The library was actually a tomb and a shrine for the deceased Tiberius Julius Celsus Polemaeanus for whom the library is named. 12,000 volumes were collected at this library which were deposited in several cabinets along the wall.",Library of Celsus ,Library of Celsus,https://en.wikipedia.org/wiki/Library_of_Celsus,Library of Celsus,135 A.D. , 262 A.D.,135  , 262 ,Ephesus,"Ephesus, Turkey",This library was part of the triumvirate of libraries in the Mediterranean which included the aforementioned Library of Pergamum and the great Library of Alexandria listed below. The library was actually a tomb and a shrine for the deceased Tiberius Julius Celsus Polemaeanus for whom the library is named. 12000 volumes were collected at this library which were deposited in several cabinets along the wall.,volumes,12000,"Library of Celsus (135 A.D. - 262) (located within the city of Ephesus)This library was part of the triumvirate of libraries in the Mediterranean which included the aforementioned Library of Pergamum and the great Library of Alexandria listed below. The library was actually a tomb and a shrine for the deceased Tiberius Julius Celsus Polemaeanus for whom the library is named. 12,000 volumes were collected at this library which were deposited in several cabinets along the wall.",Turkey,"This library was part of the triumvirate of libraries in the Mediterranean which included the aforementioned Library of Pergamum and the great Library of Alexandria listed below. The library was actually a tomb and a shrine for the deceased Tiberius Julius Celsus Polemaeanus for whom the library is named. 12,000 volumes were collected at this library which were deposited in several cabinets along the wall.",Library of Celsus ,Library of Celsus,https://en.wikipedia.org/wiki/Library_of_Celsus,Library of Celsus,135 A.D. , 262 A.D.,135  , 262 ,Ephesus,"Efes, Arkadiane, Selçuk, İzmir, Ege Bölgesi, 35920, Türkiye","(37.94044555, 27.3393194464968, 0.0)",37.94044555,27.3393194464968,"Library of Celsus , Creation Date: 135 A.D. , Wiki link: https://en.wikipedia.org/wiki/Library_of_Celsus"
5,"The Imperial Library of Constantinople  (337â€“361 A.D. â€“ 29 May 1453) (Constantinople, modern Istanbul)The library was established by Constantius II who was the son of the first Christian emperor Constantine. Constantius requested that the rolls of papyrus should be copied onto parchment or vellum in order that they would be preserved. It is known that several documents from the Library of Alexandria were spared incineration and secured here at the library. Some assessments place the collection at just over 100,000 volumes which included papyrus scrolls and codices bound in parchment, although 120,000 volumes had been destroyed in a fire in a.d. 473.",Turkey,"The library was established by Constantius II who was the son of the first Christian emperor Constantine. Constantius requested that the rolls of papyrus should be copied onto parchment or vellum in order that they would be preserved. It is known that several documents from the Library of Alexandria were spared incineration and secured here at the library. Some assessments place the collection at just over 100,000 volumes which included papyrus scrolls and codices bound in parchment, although 120,000 volumes had been destroyed in a fire in a.d. 473.",The Imperial Library of Constantinople  ,Imperial Library of Constantinople,https://en.wikipedia.org/wiki/Imperial_Library_of_Constantinople,Imperial Library of Constantinople,337 A.D.,361 A.D. ,337 ,361  ,Istanbul,"Istanbul, Turkey",The library was established by Constantius II who was the son of the first Christian emperor Constantine. Constantius requested that the rolls of papyrus should be copied onto parchment or vellum in order that they would be preserved. It is known that several documents from the Library of Alexandria were spared incineration and secured here at the library. Some assessments place the collection at just over 100000 volumes which included papyrus scrolls and codices bound in parchment although 120000 volumes had been destroyed in a fire in a.d. 473.,volumes,100000,"The Imperial Library of Constantinople  (337â€“361 A.D. â€“ 29 May 1453) (Constantinople, modern Istanbul)The library was established by Constantius II who was the son of the first Christian emperor Constantine. Constantius requested that the rolls of papyrus should be copied onto parchment or vellum in order that they would be preserved. It is known that several documents from the Library of Alexandria were spared incineration and secured here at the library. Some assessments place the collection at just over 100,000 volumes which included papyrus scrolls and codices bound in parchment, although 120,000 volumes had been destroyed in a fire in a.d. 473.",Turkey,"The library was established by Constantius II who was the son of the first Christian emperor Constantine. Constantius requested that the rolls of papyrus should be copied onto parchment or vellum in order that they would be preserved. It is known that several documents from the Library of Alexandria were spared incineration and secured here at the library. Some assessments place the collection at just over 100,000 volumes which included papyrus scrolls and codices bound in parchment, although 120,000 volumes had been destroyed in a fire in a.d. 473.",The Imperial Library of Constantinople  ,Imperial Library of Constantinople,https://en.wikipedia.org/wiki/Imperial_Library_of_Constantinople,Imperial Library of Constantinople,337 A.D.,361 A.D. ,337 ,361  ,Istanbul,"İstanbul, Fatih, İstanbul, Marmara Bölgesi, 34126, Türkiye","(41.0096334, 28.9651646, 0.0)",41.0096334,28.9651646,"The Imperial Library of Constantinople  , Creation Date: 337 A.D., Wiki link: https://en.wikipedia.org/wiki/Imperial_Library_of_Constantinople"
6,"Han Imperial Library. Catalogue preserved in the Yiwenzhi chapter of the Book of Han. At the time of inventory contained 596 works divided into six genres; scripture, philosophy, poetry, warfare, astrology, and medicine.",China,,Han Imperial Library,,None,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
7,"The Royal Library of Alexandria, Egypt, fl. 3rd century BC (c. 295 BC).Founded by Ptolemy, this library was said to have amassed an estimated 400,000 manuscripts and was considered the leading intellectual metropolis of the Hellenistic world. The Serapeum in Alexandria served as an extension of the library.",Egypt,,The Royal Library of Alexandria,Library of Alexandria,https://en.wikipedia.org/wiki/Library_of_Alexandria,Library of Alexandria,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
8,"Serapeum of Alexandria, offshoot collection of the great Library of Alexandria",Egypt,,Serapeum of Alexandria,Serapeum of Alexandria,https://en.wikipedia.org/wiki/Serapeum_of_Alexandria,Serapeum of Alexandria,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
9,"Temple of Edfu Archive/Library (237â€“57 B.C.)This library was an extension of the Temple itself. The walls of this chamber are bestrewn with engravings and captions depicting numerous receptacles filled with manuscripts of papyrus as well as scrolls bound in leather. These documents chronicled the circadian workings of the temple, but also detailed construction drafts and directives on how the temple walls should be decorated.",Egypt,,Temple of Edfu Archive/Library ,,None,,237 B.C.,57 B.C.,-237 ,-57 ,,,,,,,,,,,,,,,,,,,,,,
10,"The Library of AksumThe kingdom of Aksum, by the first century CE, was a noted trading hub for Europe, Asia, and Africa. By the third century, it was the equal of the Roman, Persian, and Chinese empires. Aksum had a unique written language, Ge'ez, and their libraries held their own translation of the Christian Bible, and other important early Christian works. It is believed that Coptic monks translated many of these works. Notably, the Book of Enoch, a pre-Christian religious text, was originally written in Ge'ez. By the 7th century CE, the kingdom of Aksum fell due to Islamic expansion, agricultural difficulties, and a trading shift away from the Red Sea in favor of the Persian Gulf, but it is remembered as a society that celebrated literacy, education, and libraries.",Ethiopia,,The Library of AksumThe kingdom of Aksum,,None,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
11,The Library of Aristotle (Athens) (384â€“321 B.C.)The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,Greece,The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,The Library of Aristotle ,,None,,384 B.C.,321 B.C.,-384 ,-321 ,Athens,"Athens, Greece",The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,,,The Library of Aristotle (Athens) (384â€“321 B.C.)The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,Greece,The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,The Library of Aristotle ,,None,,384 B.C.,321 B.C.,-384 ,-321 ,Athens,"Αθήνα, Δήμος Αθηναίων, Π.Ε. Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αττική, 10431, Ελλάδα","(37.9841493, 23.7279843, 0.0)",37.9841493,23.7279843,"The Library of Aristotle , Creation Date: 384 B.C., Wiki link: None"
12,The Library of Aristotle (Athens) (384â€“321 B.C.)The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,Greece,The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,The Library of Aristotle ,,None,,384 B.C.,321 B.C.,-384 ,-321 ,Athens,"Athens, Greece",The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,,,The Library of Aristotle (Athens) (384â€“321 B.C.)The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,Greece,The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,The Library of Aristotle ,,None,,384 B.C.,321 B.C.,-384 ,-321 ,Athens,"Αθήνα, Δήμος Αθηναίων, Π.Ε. Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αττική, 10431, Ελλάδα","(37.9841493, 23.7279843, 0.0)",37.9841493,23.7279843,"The Library of Aristotle , Creation Date: 384 B.C., Wiki link: None"
13,The Library of Aristotle (Athens) (384â€“321 B.C.)The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,Greece,The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,The Library of Aristotle ,,None,,384 B.C.,321 B.C.,-384 ,-321 ,Athens,"Athens, Greece",The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,,,"The Library of Pantainos (Athens) (100 A.D.)Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",Greece,"Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",The Library of Pantainos ,,None,,100 A.D.,Unknown,100 ,,Athens,"Αθήνα, Δήμος Αθηναίων, Π.Ε. Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αττική, 10431, Ελλάδα","(37.9841493, 23.7279843, 0.0)",37.9841493,23.7279843,"The Library of Pantainos , Creation Date: 100 A.D., Wiki link: None"
14,The Library of Aristotle (Athens) (384â€“321 B.C.)The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,Greece,The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,The Library of Aristotle ,,None,,384 B.C.,321 B.C.,-384 ,-321 ,Athens,"Athens, Greece",The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,,,"The Library of Pantainos (Athens) (100 A.D.)Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",Greece,"Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",The Library of Pantainos ,,None,,100 A.D.,Unknown,100 ,,Athens,"Αθήνα, Δήμος Αθηναίων, Π.Ε. Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αττική, 10431, Ελλάδα","(37.9841493, 23.7279843, 0.0)",37.9841493,23.7279843,"The Library of Pantainos , Creation Date: 100 A.D., Wiki link: None"
15,Kos Library (Kos) (100 A.D.)The library was a local public library situated on the island of Kos and known as a crossroads for academia and philosophical faculties. A record of individuals who were supposedly responsible for the establishment of the library are acknowledged in an inscription near the monument.,Greece,The library was a local public library situated on the island of Kos and known as a crossroads for academia and philosophical faculties. A record of individuals who were supposedly responsible for the establishment of the library are acknowledged in an inscription near the monument.,Kos Library ,,None,,100 A.D.,Unknown,100 ,,Kos,"Kos, Greece",The library was a local public library situated on the island of Kos and known as a crossroads for academia and philosophical faculties. A record of individuals who were supposedly responsible for the establishment of the library are acknowledged in an inscription near the monument.,,,Kos Library (Kos) (100 A.D.)The library was a local public library situated on the island of Kos and known as a crossroads for academia and philosophical faculties. A record of individuals who were supposedly responsible for the establishment of the library are acknowledged in an inscription near the monument.,Greece,The library was a local public library situated on the island of Kos and known as a crossroads for academia and philosophical faculties. A record of individuals who were supposedly responsible for the establishment of the library are acknowledged in an inscription near the monument.,Kos Library ,,None,,100 A.D.,Unknown,100 ,,Kos,"Δήμος Κω, Περιφερειακή Ενότητα Κω, Περιφέρεια Νοτίου Αιγαίου, Αιγαίο, Ελλάδα","(36.7939719, 27.0850810793972, 0.0)",36.7939719,27.0850810793972,"Kos Library , Creation Date: 100 A.D., Wiki link: None"
